Question,Answer
"In 1971, Europe (EI) consumed how much of coal in terms of TWh?",5500.67 TWh
"In 1972, Europe (EI) consumed how much of coal in terms of TWh?",5307.85 TWh
"In 1973, Europe (EI) consumed how much of coal in terms of TWh?",5393.85 TWh
"In 1974, Europe (EI) consumed how much of coal in terms of TWh?",5343.69 TWh
"In 1975, Europe (EI) consumed how much of coal in terms of TWh?",5225.29 TWh
"In 1976, Europe (EI) consumed how much of coal in terms of TWh?",5461.29 TWh
"In 1977, Europe (EI) consumed how much of coal in terms of TWh?",5462.66 TWh
"In 1978, Europe (EI) consumed how much of coal in terms of TWh?",5546.53 TWh
"In 1979, Europe (EI) consumed how much of coal in terms of TWh?",5785.41 TWh
"In 1980, Europe (EI) consumed how much of coal in terms of TWh?",5906.71 TWh
"In 1981, Europe (EI) consumed how much of coal in terms of TWh?",5795.17 TWh
"In 1982, Europe (EI) consumed how much of coal in terms of TWh?",5829.35 TWh
"In 1983, Europe (EI) consumed how much of coal in terms of TWh?",5905.01 TWh
"In 1984, Europe (EI) consumed how much of coal in terms of TWh?",5897.69 TWh
"In 1985, Europe (EI) consumed how much of coal in terms of TWh?",7248.31 TWh
"In 1986, Europe (EI) consumed how much of coal in terms of TWh?",7183.79 TWh
"In 1987, Europe (EI) consumed how much of coal in terms of TWh?",7251.86 TWh
"In 1988, Europe (EI) consumed how much of coal in terms of TWh?",7102.95 TWh
"In 1989, Europe (EI) consumed how much of coal in terms of TWh?",7014.32 TWh
"In 1990, Europe (EI) consumed how much of coal in terms of TWh?",6675.25 TWh
"In 1991, Europe (EI) consumed how much of coal in terms of TWh?",6290.28 TWh
"In 1992, Europe (EI) consumed how much of coal in terms of TWh?",5920.30 TWh
"In 1993, Europe (EI) consumed how much of coal in terms of TWh?",5525.60 TWh
"In 1994, Europe (EI) consumed how much of coal in terms of TWh?",5210.38 TWh
"In 1995, Europe (EI) consumed how much of coal in terms of TWh?",5159.50 TWh
"In 1996, Europe (EI) consumed how much of coal in terms of TWh?",5011.59 TWh
"In 1997, Europe (EI) consumed how much of coal in terms of TWh?",4874.05 TWh
"In 1998, Europe (EI) consumed how much of coal in terms of TWh?",4739.76 TWh
"In 1999, Europe (EI) consumed how much of coal in terms of TWh?",4477.33 TWh
"In 2000, Europe (EI) consumed how much of coal in terms of TWh?",4606.73 TWh
"In 2001, Europe (EI) consumed how much of coal in terms of TWh?",4558.42 TWh
"In 2002, Europe (EI) consumed how much of coal in terms of TWh?",4562.16 TWh
"In 2003, Europe (EI) consumed how much of coal in terms of TWh?",4743.55 TWh
"In 2004, Europe (EI) consumed how much of coal in terms of TWh?",4672.22 TWh
"In 2005, Europe (EI) consumed how much of coal in terms of TWh?",4561.06 TWh
"In 2006, Europe (EI) consumed how much of coal in terms of TWh?",4773.83 TWh
"In 2007, Europe (EI) consumed how much of coal in terms of TWh?",4840.05 TWh
"In 2008, Europe (EI) consumed how much of coal in terms of TWh?",4564.61 TWh
"In 2009, Europe (EI) consumed how much of coal in terms of TWh?",4078.72 TWh
"In 2010, Europe (EI) consumed how much of coal in terms of TWh?",4260.60 TWh
"In 2011, Europe (EI) consumed how much of coal in terms of TWh?",4440.84 TWh
"In 2012, Europe (EI) consumed how much of coal in terms of TWh?",4545.58 TWh
"In 2013, Europe (EI) consumed how much of coal in terms of TWh?",4406.08 TWh
"In 2014, Europe (EI) consumed how much of coal in terms of TWh?",4133.02 TWh
"In 2015, Europe (EI) consumed how much of coal in terms of TWh?",3956.75 TWh
"In 2016, Europe (EI) consumed how much of coal in terms of TWh?",3817.87 TWh
"In 2017, Europe (EI) consumed how much of coal in terms of TWh?",3691.99 TWh
"In 2018, Europe (EI) consumed how much of coal in terms of TWh?",3605.40 TWh
"In 2019, Europe (EI) consumed how much of coal in terms of TWh?",3073.52 TWh
"In 2020, Europe (EI) consumed how much of coal in terms of TWh?",2658.39 TWh
"In 2021, Europe (EI) consumed how much of coal in terms of TWh?",2898.62 TWh
"In 2022, Europe (EI) consumed how much of coal in terms of TWh?",2783.38 TWh
"In 2023, Europe (EI) consumed how much of coal in terms of TWh?",2331.91 TWh
"In 1965, European Union (27) consumed how much of coal in terms of TWh?",4595.19 TWh
"In 1966, European Union (27) consumed how much of coal in terms of TWh?",4412.74 TWh
"In 1967, European Union (27) consumed how much of coal in terms of TWh?",4328.08 TWh
"In 1968, European Union (27) consumed how much of coal in terms of TWh?",4404.67 TWh
"In 1969, European Union (27) consumed how much of coal in terms of TWh?",4508.30 TWh
"In 1970, European Union (27) consumed how much of coal in terms of TWh?",4468.19 TWh
"In 1971, European Union (27) consumed how much of coal in terms of TWh?",4333.80 TWh
"In 1972, European Union (27) consumed how much of coal in terms of TWh?",4262.09 TWh
"In 1973, European Union (27) consumed how much of coal in terms of TWh?",4268.85 TWh
"In 1974, European Union (27) consumed how much of coal in terms of TWh?",4321.77 TWh
"In 1975, European Union (27) consumed how much of coal in terms of TWh?",4189.54 TWh
"In 1976, European Union (27) consumed how much of coal in terms of TWh?",4400.52 TWh
"In 1977, European Union (27) consumed how much of coal in terms of TWh?",4398.20 TWh
"In 1978, European Union (27) consumed how much of coal in terms of TWh?",4489.83 TWh
"In 1979, European Union (27) consumed how much of coal in terms of TWh?",4647.92 TWh
"In 1980, European Union (27) consumed how much of coal in terms of TWh?",4833.15 TWh
"In 1981, European Union (27) consumed how much of coal in terms of TWh?",4700.72 TWh
"In 1982, European Union (27) consumed how much of coal in terms of TWh?",4775.55 TWh
"In 1983, European Union (27) consumed how much of coal in terms of TWh?",4811.51 TWh
"In 1984, European Union (27) consumed how much of coal in terms of TWh?",4994.54 TWh
"In 1985, European Union (27) consumed how much of coal in terms of TWh?",5135.27 TWh
"In 1986, European Union (27) consumed how much of coal in terms of TWh?",5002.71 TWh
"In 1987, European Union (27) consumed how much of coal in terms of TWh?",5059.94 TWh
"In 1988, European Union (27) consumed how much of coal in terms of TWh?",4994.17 TWh
"In 1989, European Union (27) consumed how much of coal in terms of TWh?",5006.14 TWh
"In 1990, European Union (27) consumed how much of coal in terms of TWh?",4555.97 TWh
"In 1991, European Union (27) consumed how much of coal in terms of TWh?",4294.48 TWh
"In 1992, European Union (27) consumed how much of coal in terms of TWh?",3993.79 TWh
"In 1993, European Union (27) consumed how much of coal in terms of TWh?",3810.97 TWh
"In 1994, European Union (27) consumed how much of coal in terms of TWh?",3725.08 TWh
"In 1995, European Union (27) consumed how much of coal in terms of TWh?",3684.14 TWh
"In 1996, European Union (27) consumed how much of coal in terms of TWh?",3690.34 TWh
"In 1997, European Union (27) consumed how much of coal in terms of TWh?",3579.91 TWh
"In 1998, European Union (27) consumed how much of coal in terms of TWh?",3418.24 TWh
"In 1999, European Union (27) consumed how much of coal in terms of TWh?",3256.57 TWh
"In 2000, European Union (27) consumed how much of coal in terms of TWh?",3300.33 TWh
"In 2001, European Union (27) consumed how much of coal in terms of TWh?",3285.36 TWh
"In 2002, European Union (27) consumed how much of coal in terms of TWh?",3309.55 TWh
"In 2003, European Union (27) consumed how much of coal in terms of TWh?",3422.20 TWh
"In 2004, European Union (27) consumed how much of coal in terms of TWh?",3363.68 TWh
"In 2005, European Union (27) consumed how much of coal in terms of TWh?",3252.98 TWh
"In 2006, European Union (27) consumed how much of coal in terms of TWh?",3340.09 TWh
"In 2007, European Union (27) consumed how much of coal in terms of TWh?",3373.18 TWh
"In 2008, European Union (27) consumed how much of coal in terms of TWh?",3126.79 TWh
"In 2009, European Union (27) consumed how much of coal in terms of TWh?",2769.58 TWh
"In 2010, European Union (27) consumed how much of coal in terms of TWh?",2906.55 TWh
"In 2011, European Union (27) consumed how much of coal in terms of TWh?",2994.76 TWh
"In 2012, European Union (27) consumed how much of coal in terms of TWh?",2980.90 TWh
"In 2013, European Union (27) consumed how much of coal in terms of TWh?",2927.20 TWh
"In 2014, European Union (27) consumed how much of coal in terms of TWh?",2782.88 TWh
"In 2015, European Union (27) consumed how much of coal in terms of TWh?",2774.73 TWh
"In 2016, European Union (27) consumed how much of coal in terms of TWh?",2663.56 TWh
"In 2017, European Union (27) consumed how much of coal in terms of TWh?",2631.02 TWh
"In 2018, European Union (27) consumed how much of coal in terms of TWh?",2522.22 TWh
"In 2019, European Union (27) consumed how much of coal in terms of TWh?",2031.94 TWh
"In 2020, European Union (27) consumed how much of coal in terms of TWh?",1674.70 TWh
"In 2021, European Union (27) consumed how much of coal in terms of TWh?",1912.54 TWh
"In 2022, European Union (27) consumed how much of coal in terms of TWh?",1912.70 TWh
"In 2023, European Union (27) consumed how much of coal in terms of TWh?",1523.17 TWh
"In 1965, Finland consumed how much of coal in terms of TWh?",20.26 TWh
"In 1966, Finland consumed how much of coal in terms of TWh?",18.80 TWh
"In 1967, Finland consumed how much of coal in terms of TWh?",18.09 TWh
"In 1968, Finland consumed how much of coal in terms of TWh?",21.79 TWh
"In 1969, Finland consumed how much of coal in terms of TWh?",26.14 TWh
"In 1970, Finland consumed how much of coal in terms of TWh?",26.57 TWh
"In 1971, Finland consumed how much of coal in terms of TWh?",23.58 TWh
"In 1972, Finland consumed how much of coal in terms of TWh?",26.16 TWh
"In 1973, Finland consumed how much of coal in terms of TWh?",29.03 TWh
"In 1974, Finland consumed how much of coal in terms of TWh?",29.59 TWh
"In 1975, Finland consumed how much of coal in terms of TWh?",26.80 TWh
"In 1976, Finland consumed how much of coal in terms of TWh?",36.12 TWh
"In 1977, Finland consumed how much of coal in terms of TWh?",36.42 TWh
"In 1978, Finland consumed how much of coal in terms of TWh?",49.09 TWh
"In 1979, Finland consumed how much of coal in terms of TWh?",47.31 TWh
"In 1980, Finland consumed how much of coal in terms of TWh?",53.69 TWh
"In 1981, Finland consumed how much of coal in terms of TWh?",32.99 TWh
"In 1982, Finland consumed how much of coal in terms of TWh?",36.60 TWh
"In 1983, Finland consumed how much of coal in terms of TWh?",39.75 TWh
"In 1984, Finland consumed how much of coal in terms of TWh?",45.78 TWh
"In 1985, Finland consumed how much of coal in terms of TWh?",58.03 TWh
"In 1986, Finland consumed how much of coal in terms of TWh?",53.06 TWh
"In 1987, Finland consumed how much of coal in terms of TWh?",59.43 TWh
"In 1988, Finland consumed how much of coal in terms of TWh?",59.50 TWh
"In 1989, Finland consumed how much of coal in terms of TWh?",58.21 TWh
"In 1990, Finland consumed how much of coal in terms of TWh?",61.29 TWh
"In 1991, Finland consumed how much of coal in terms of TWh?",61.21 TWh
"In 1992, Finland consumed how much of coal in terms of TWh?",55.71 TWh
"In 1993, Finland consumed how much of coal in terms of TWh?",63.69 TWh
"In 1994, Finland consumed how much of coal in terms of TWh?",77.56 TWh
"In 1995, Finland consumed how much of coal in terms of TWh?",68.60 TWh
"In 1996, Finland consumed how much of coal in terms of TWh?",81.75 TWh
"In 1997, Finland consumed how much of coal in terms of TWh?",77.43 TWh
"In 1998, Finland consumed how much of coal in terms of TWh?",63.54 TWh
"In 1999, Finland consumed how much of coal in terms of TWh?",61.57 TWh
"In 2000, Finland consumed how much of coal in terms of TWh?",58.33 TWh
"In 2001, Finland consumed how much of coal in terms of TWh?",70.49 TWh
"In 2002, Finland consumed how much of coal in terms of TWh?",76.59 TWh
"In 2003, Finland consumed how much of coal in terms of TWh?",95.59 TWh
"In 2004, Finland consumed how much of coal in terms of TWh?",85.88 TWh
"In 2005, Finland consumed how much of coal in terms of TWh?",55.17 TWh
"In 2006, Finland consumed how much of coal in terms of TWh?",86.15 TWh
"In 2007, Finland consumed how much of coal in terms of TWh?",81.35 TWh
"In 2008, Finland consumed how much of coal in terms of TWh?",62.04 TWh
"In 2009, Finland consumed how much of coal in terms of TWh?",62.49 TWh
"In 2010, Finland consumed how much of coal in terms of TWh?",78.92 TWh
"In 2011, Finland consumed how much of coal in terms of TWh?",64.12 TWh
"In 2012, Finland consumed how much of coal in terms of TWh?",52.50 TWh
"In 2013, Finland consumed how much of coal in terms of TWh?",58.04 TWh
"In 2014, Finland consumed how much of coal in terms of TWh?",52.02 TWh
"In 2015, Finland consumed how much of coal in terms of TWh?",44.41 TWh
"In 2016, Finland consumed how much of coal in terms of TWh?",50.92 TWh
"In 2017, Finland consumed how much of coal in terms of TWh?",46.65 TWh
"In 2018, Finland consumed how much of coal in terms of TWh?",48.88 TWh
"In 2019, Finland consumed how much of coal in terms of TWh?",41.05 TWh
"In 2020, Finland consumed how much of coal in terms of TWh?",31.43 TWh
"In 2021, Finland consumed how much of coal in terms of TWh?",33.98 TWh
"In 2022, Finland consumed how much of coal in terms of TWh?",33.26 TWh
"In 2023, Finland consumed how much of coal in terms of TWh?",24.58 TWh
"In 1965, France consumed how much of coal in terms of TWh?",518.65 TWh
"In 1966, France consumed how much of coal in terms of TWh?",481.15 TWh
"In 1967, France consumed how much of coal in terms of TWh?",474.75 TWh
"In 1968, France consumed how much of coal in terms of TWh?",455.16 TWh
"In 1969, France consumed how much of coal in terms of TWh?",454.98 TWh
"In 1970, France consumed how much of coal in terms of TWh?",431.57 TWh
"In 1971, France consumed how much of coal in terms of TWh?",390.05 TWh
"In 1972, France consumed how much of coal in terms of TWh?",342.51 TWh
"In 1973, France consumed how much of coal in terms of TWh?",340.76 TWh
"In 1974, France consumed how much of coal in terms of TWh?",343.39 TWh
"In 1975, France consumed how much of coal in terms of TWh?",309.34 TWh
"In 1976, France consumed how much of coal in terms of TWh?",350.43 TWh
"In 1977, France consumed how much of coal in terms of TWh?",352.74 TWh
"In 1978, France consumed how much of coal in terms of TWh?",350.37 TWh
"In 1979, France consumed how much of coal in terms of TWh?",377.14 TWh
"In 1980, France consumed how much of coal in terms of TWh?",382.54 TWh
"In 1981, France consumed how much of coal in terms of TWh?",338.61 TWh
"In 1982, France consumed how much of coal in terms of TWh?",347.71 TWh
"In 1983, France consumed how much of coal in terms of TWh?",310.26 TWh
"In 1984, France consumed how much of coal in terms of TWh?",299.62 TWh
"In 1985, France consumed how much of coal in terms of TWh?",292.57 TWh
"In 1986, France consumed how much of coal in terms of TWh?",240.25 TWh
"In 1987, France consumed how much of coal in terms of TWh?",229.47 TWh
"In 1988, France consumed how much of coal in terms of TWh?",224.36 TWh
"In 1989, France consumed how much of coal in terms of TWh?",242.28 TWh
"In 1990, France consumed how much of coal in terms of TWh?",230.42 TWh
"In 1991, France consumed how much of coal in terms of TWh?",244.25 TWh
"In 1992, France consumed how much of coal in terms of TWh?",216.21 TWh
"In 1993, France consumed how much of coal in terms of TWh?",170.37 TWh
"In 1994, France consumed how much of coal in terms of TWh?",168.88 TWh
"In 1995, France consumed how much of coal in terms of TWh?",179.89 TWh
"In 1996, France consumed how much of coal in terms of TWh?",189.07 TWh
"In 1997, France consumed how much of coal in terms of TWh?",166.22 TWh
"In 1998, France consumed how much of coal in terms of TWh?",196.86 TWh
"In 1999, France consumed how much of coal in terms of TWh?",176.52 TWh
"In 2000, France consumed how much of coal in terms of TWh?",171.16 TWh
"In 2001, France consumed how much of coal in terms of TWh?",144.04 TWh
"In 2002, France consumed how much of coal in terms of TWh?",154.59 TWh
"In 2003, France consumed how much of coal in terms of TWh?",163.81 TWh
"In 2004, France consumed how much of coal in terms of TWh?",157.70 TWh
"In 2005, France consumed how much of coal in terms of TWh?",162.72 TWh
"In 2006, France consumed how much of coal in terms of TWh?",150.38 TWh
"In 2007, France consumed how much of coal in terms of TWh?",155.56 TWh
"In 2008, France consumed how much of coal in terms of TWh?",147.44 TWh
"In 2009, France consumed how much of coal in terms of TWh?",128.60 TWh
"In 2010, France consumed how much of coal in terms of TWh?",138.15 TWh
"In 2011, France consumed how much of coal in terms of TWh?",123.75 TWh
"In 2012, France consumed how much of coal in terms of TWh?",137.55 TWh
"In 2013, France consumed how much of coal in terms of TWh?",146.10 TWh
"In 2014, France consumed how much of coal in terms of TWh?",107.21 TWh
"In 2015, France consumed how much of coal in terms of TWh?",102.28 TWh
"In 2016, France consumed how much of coal in terms of TWh?",99.51 TWh
"In 2017, France consumed how much of coal in terms of TWh?",109.05 TWh
"In 2018, France consumed how much of coal in terms of TWh?",100.20 TWh
"In 2019, France consumed how much of coal in terms of TWh?",79.42 TWh
"In 2020, France consumed how much of coal in terms of TWh?",55.98 TWh
"In 2021, France consumed how much of coal in terms of TWh?",75.04 TWh
"In 2022, France consumed how much of coal in terms of TWh?",64.42 TWh
"In 2023, France consumed how much of coal in terms of TWh?",49.38 TWh
"In 1965, Germany consumed how much of coal in terms of TWh?",1869.48 TWh
"In 1966, Germany consumed how much of coal in terms of TWh?",1745.34 TWh
"In 1967, Germany consumed how much of coal in terms of TWh?",1681.30 TWh
"In 1968, Germany consumed how much of coal in terms of TWh?",1705.44 TWh
"In 1969, Germany consumed how much of coal in terms of TWh?",1755.96 TWh
"In 1970, Germany consumed how much of coal in terms of TWh?",1734.00 TWh
"In 1971, Germany consumed how much of coal in terms of TWh?",1659.38 TWh
"In 1972, Germany consumed how much of coal in terms of TWh?",1619.86 TWh
"In 1973, Germany consumed how much of coal in terms of TWh?",1625.13 TWh
"In 1974, Germany consumed how much of coal in terms of TWh?",1632.12 TWh
"In 1975, Germany consumed how much of coal in terms of TWh?",1478.57 TWh
"In 1976, Germany consumed how much of coal in terms of TWh?",1560.84 TWh
"In 1977, Germany consumed how much of coal in terms of TWh?",1499.00 TWh
"In 1978, Germany consumed how much of coal in terms of TWh?",1518.48 TWh
"In 1979, Germany consumed how much of coal in terms of TWh?",1606.78 TWh
"In 1980, Germany consumed how much of coal in terms of TWh?",1643.76 TWh
"In 1981, Germany consumed how much of coal in terms of TWh?",1671.31 TWh
"In 1982, Germany consumed how much of coal in terms of TWh?",1631.48 TWh
"In 1983, Germany consumed how much of coal in terms of TWh?",1690.97 TWh
"In 1984, Germany consumed how much of coal in terms of TWh?",1745.24 TWh
"In 1985, Germany consumed how much of coal in terms of TWh?",1736.00 TWh
"In 1986, Germany consumed how much of coal in terms of TWh?",1640.38 TWh
"In 1987, Germany consumed how much of coal in terms of TWh?",1633.63 TWh
"In 1988, Germany consumed how much of coal in terms of TWh?",1614.40 TWh
"In 1989, Germany consumed how much of coal in terms of TWh?",1640.10 TWh
"In 1990, Germany consumed how much of coal in terms of TWh?",1529.69 TWh
"In 1991, Germany consumed how much of coal in terms of TWh?",1343.60 TWh
"In 1992, Germany consumed how much of coal in terms of TWh?",1214.50 TWh
"In 1993, Germany consumed how much of coal in terms of TWh?",1145.77 TWh
"In 1994, Germany consumed how much of coal in terms of TWh?",1111.45 TWh
"In 1995, Germany consumed how much of coal in terms of TWh?",1053.94 TWh
"In 1996, Germany consumed how much of coal in terms of TWh?",1049.40 TWh
"In 1997, Germany consumed how much of coal in terms of TWh?",1016.82 TWh
"In 1998, Germany consumed how much of coal in terms of TWh?",992.51 TWh
"In 1999, Germany consumed how much of coal in terms of TWh?",955.58 TWh
"In 2000, Germany consumed how much of coal in terms of TWh?",992.10 TWh
"In 2001, Germany consumed how much of coal in terms of TWh?",994.94 TWh
"In 2002, Germany consumed how much of coal in terms of TWh?",997.15 TWh
"In 2003, Germany consumed how much of coal in terms of TWh?",1013.62 TWh
"In 2004, Germany consumed how much of coal in terms of TWh?",988.11 TWh
"In 2005, Germany consumed how much of coal in terms of TWh?",945.39 TWh
"In 2006, Germany consumed how much of coal in terms of TWh?",983.31 TWh
"In 2007, Germany consumed how much of coal in terms of TWh?",1008.29 TWh
"In 2008, Germany consumed how much of coal in terms of TWh?",931.81 TWh
"In 2009, Germany consumed how much of coal in terms of TWh?",834.29 TWh
"In 2010, Germany consumed how much of coal in terms of TWh?",896.17 TWh
"In 2011, Germany consumed how much of coal in terms of TWh?",910.79 TWh
"In 2012, Germany consumed how much of coal in terms of TWh?",936.07 TWh
"In 2013, Germany consumed how much of coal in terms of TWh?",963.40 TWh
"In 2014, Germany consumed how much of coal in terms of TWh?",925.89 TWh
"In 2015, Germany consumed how much of coal in terms of TWh?",915.06 TWh
"In 2016, Germany consumed how much of coal in terms of TWh?",889.93 TWh
"In 2017, Germany consumed how much of coal in terms of TWh?",835.93 TWh
"In 2018, Germany consumed how much of coal in terms of TWh?",806.69 TWh
"In 2019, Germany consumed how much of coal in terms of TWh?",624.22 TWh
"In 2020, Germany consumed how much of coal in terms of TWh?",514.87 TWh
"In 2021, Germany consumed how much of coal in terms of TWh?",621.93 TWh
"In 2022, Germany consumed how much of coal in terms of TWh?",641.76 TWh
"In 2023, Germany consumed how much of coal in terms of TWh?",507.22 TWh
"In 1965, Greece consumed how much of coal in terms of TWh?",24.50 TWh
"In 1966, Greece consumed how much of coal in terms of TWh?",24.46 TWh
"In 1967, Greece consumed how much of coal in terms of TWh?",23.38 TWh
"In 1968, Greece consumed how much of coal in terms of TWh?",26.40 TWh
"In 1969, Greece consumed how much of coal in terms of TWh?",25.55 TWh
"In 1970, Greece consumed how much of coal in terms of TWh?",29.40 TWh
"In 1971, Greece consumed how much of coal in terms of TWh?",43.33 TWh
"In 1972, Greece consumed how much of coal in terms of TWh?",46.29 TWh
"In 1973, Greece consumed how much of coal in terms of TWh?",54.44 TWh
"In 1974, Greece consumed how much of coal in terms of TWh?",57.34 TWh
"In 1975, Greece consumed how much of coal in terms of TWh?",75.08 TWh
"In 1976, Greece consumed how much of coal in terms of TWh?",88.73 TWh
"In 1977, Greece consumed how much of coal in terms of TWh?",94.37 TWh
"In 1978, Greece consumed how much of coal in terms of TWh?",83.91 TWh
"In 1979, Greece consumed how much of coal in terms of TWh?",46.07 TWh
"In 1980, Greece consumed how much of coal in terms of TWh?",46.07 TWh
"In 1981, Greece consumed how much of coal in terms of TWh?",45.60 TWh
"In 1982, Greece consumed how much of coal in terms of TWh?",46.30 TWh
"In 1983, Greece consumed how much of coal in terms of TWh?",56.78 TWh
"In 1984, Greece consumed how much of coal in terms of TWh?",60.63 TWh
"In 1985, Greece consumed how much of coal in terms of TWh?",70.30 TWh
"In 1986, Greece consumed how much of coal in terms of TWh?",67.09 TWh
"In 1987, Greece consumed how much of coal in terms of TWh?",76.60 TWh
"In 1988, Greece consumed how much of coal in terms of TWh?",85.97 TWh
"In 1989, Greece consumed how much of coal in terms of TWh?",92.42 TWh
"In 1990, Greece consumed how much of coal in terms of TWh?",93.73 TWh
"In 1991, Greece consumed how much of coal in terms of TWh?",90.17 TWh
"In 1992, Greece consumed how much of coal in terms of TWh?",94.09 TWh
"In 1993, Greece consumed how much of coal in terms of TWh?",94.05 TWh
"In 1994, Greece consumed how much of coal in terms of TWh?",94.25 TWh
"In 1995, Greece consumed how much of coal in terms of TWh?",93.93 TWh
"In 1996, Greece consumed how much of coal in terms of TWh?",91.38 TWh
"In 1997, Greece consumed how much of coal in terms of TWh?",98.41 TWh
"In 1998, Greece consumed how much of coal in terms of TWh?",102.95 TWh
"In 1999, Greece consumed how much of coal in terms of TWh?",99.03 TWh
"In 2000, Greece consumed how much of coal in terms of TWh?",104.95 TWh
"In 2001, Greece consumed how much of coal in terms of TWh?",108.48 TWh
"In 2002, Greece consumed how much of coal in terms of TWh?",104.37 TWh
"In 2003, Greece consumed how much of coal in terms of TWh?",104.93 TWh
"In 2004, Greece consumed how much of coal in terms of TWh?",107.56 TWh
"In 2005, Greece consumed how much of coal in terms of TWh?",106.10 TWh
"In 2006, Greece consumed how much of coal in terms of TWh?",97.71 TWh
"In 2007, Greece consumed how much of coal in terms of TWh?",103.02 TWh
"In 2008, Greece consumed how much of coal in terms of TWh?",96.97 TWh
"In 2009, Greece consumed how much of coal in terms of TWh?",98.01 TWh
"In 2010, Greece consumed how much of coal in terms of TWh?",91.51 TWh
"In 2011, Greece consumed how much of coal in terms of TWh?",91.85 TWh
"In 2012, Greece consumed how much of coal in terms of TWh?",94.66 TWh
"In 2013, Greece consumed how much of coal in terms of TWh?",81.26 TWh
"In 2014, Greece consumed how much of coal in terms of TWh?",78.10 TWh
"In 2015, Greece consumed how much of coal in terms of TWh?",65.44 TWh
"In 2016, Greece consumed how much of coal in terms of TWh?",50.69 TWh
"In 2017, Greece consumed how much of coal in terms of TWh?",55.78 TWh
"In 2018, Greece consumed how much of coal in terms of TWh?",54.77 TWh
"In 2019, Greece consumed how much of coal in terms of TWh?",37.18 TWh
"In 2020, Greece consumed how much of coal in terms of TWh?",21.29 TWh
"In 2021, Greece consumed how much of coal in terms of TWh?",19.91 TWh
"In 2022, Greece consumed how much of coal in terms of TWh?",18.44 TWh
"In 2023, Greece consumed how much of coal in terms of TWh?",13.22 TWh
"In 1965, High-income countries consumed how much of coal in terms of TWh?",10213.81 TWh
"In 1966, High-income countries consumed how much of coal in terms of TWh?",10164.79 TWh
"In 1967, High-income countries consumed how much of coal in terms of TWh?",9982.27 TWh
"In 1968, High-income countries consumed how much of coal in terms of TWh?",10205.06 TWh
"In 1969, High-income countries consumed how much of coal in terms of TWh?",10339.09 TWh
"In 1970, High-income countries consumed how much of coal in terms of TWh?",10183.49 TWh
"In 1971, High-income countries consumed how much of coal in terms of TWh?",9656.14 TWh
"In 1972, High-income countries consumed how much of coal in terms of TWh?",9575.31 TWh
"In 1973, High-income countries consumed how much of coal in terms of TWh?",9972.13 TWh
"In 1974, High-income countries consumed how much of coal in terms of TWh?",9885.53 TWh
"In 1975, High-income countries consumed how much of coal in terms of TWh?",9709.86 TWh
"In 1976, High-income countries consumed how much of coal in terms of TWh?",10238.64 TWh
"In 1977, High-income countries consumed how much of coal in terms of TWh?",10380.76 TWh
"In 1978, High-income countries consumed how much of coal in terms of TWh?",10305.87 TWh
"In 1979, High-income countries consumed how much of coal in terms of TWh?",10949.10 TWh
"In 1980, High-income countries consumed how much of coal in terms of TWh?",11347.74 TWh
"In 1981, High-income countries consumed how much of coal in terms of TWh?",11462.74 TWh
"In 1982, High-income countries consumed how much of coal in terms of TWh?",11317.28 TWh
"In 1983, High-income countries consumed how much of coal in terms of TWh?",11574.25 TWh
"In 1984, High-income countries consumed how much of coal in terms of TWh?",12067.57 TWh
"In 1985, High-income countries consumed how much of coal in terms of TWh?",12570.02 TWh
"In 1986, High-income countries consumed how much of coal in terms of TWh?",12419.34 TWh
"In 1987, High-income countries consumed how much of coal in terms of TWh?",12779.47 TWh
"In 1988, High-income countries consumed how much of coal in terms of TWh?",13088.22 TWh
"In 1989, High-income countries consumed how much of coal in terms of TWh?",13161.98 TWh
"In 1990, High-income countries consumed how much of coal in terms of TWh?",12775.54 TWh
"In 1991, High-income countries consumed how much of coal in terms of TWh?",12479.12 TWh
"In 1992, High-income countries consumed how much of coal in terms of TWh?",12180.41 TWh
"In 1993, High-income countries consumed how much of coal in terms of TWh?",12145.61 TWh
"In 1994, High-income countries consumed how much of coal in terms of TWh?",12114.41 TWh
"In 1995, High-income countries consumed how much of coal in terms of TWh?",12190.30 TWh
"In 1996, High-income countries consumed how much of coal in terms of TWh?",12548.66 TWh
"In 1997, High-income countries consumed how much of coal in terms of TWh?",12634.14 TWh
"In 1998, High-income countries consumed how much of coal in terms of TWh?",12567.42 TWh
"In 1999, High-income countries consumed how much of coal in terms of TWh?",12461.75 TWh
"In 2000, High-income countries consumed how much of coal in terms of TWh?",13012.02 TWh
"In 2001, High-income countries consumed how much of coal in terms of TWh?",12944.90 TWh
"In 2002, High-income countries consumed how much of coal in terms of TWh?",13077.01 TWh
"In 2003, High-income countries consumed how much of coal in terms of TWh?",13447.40 TWh
"In 2004, High-income countries consumed how much of coal in terms of TWh?",13502.94 TWh
"In 2005, High-income countries consumed how much of coal in terms of TWh?",13582.55 TWh
"In 2006, High-income countries consumed how much of coal in terms of TWh?",13644.68 TWh
"In 2007, High-income countries consumed how much of coal in terms of TWh?",13864.53 TWh
"In 2008, High-income countries consumed how much of coal in terms of TWh?",13593.35 TWh
"In 2009, High-income countries consumed how much of coal in terms of TWh?",12117.37 TWh
"In 2010, High-income countries consumed how much of coal in terms of TWh?",12829.68 TWh
"In 2011, High-income countries consumed how much of coal in terms of TWh?",12587.43 TWh
